trial_id,stim1,stim2,spkr1,spkr2,lang1,lang2,utt1,utt2,utterance_pair,speaker_identity,stimulus_language,cnceleb_resnet34,cnceleb_resnet34_LM,voxceleb_ECAPA1024,voxceleb_ECAPA1024_LM,voxceleb_ECAPA512,voxceleb_ECAPA512_LM,voxceleb_ecapa512_dino,voxceleb_CAM++,voxceleb_CAM++_LM,voxceleb_resnet34,voxceleb_resnet34_LM,voxblink2_samresnet34,voxblink2_samresnet34_ft,voxblink2_samresnet100,voxblink2_samresnet100_ft,voxceleb_resnet152_LM,voxceleb_resnet221_LM,voxceleb_resnet293_LM
T044,VF21D_Can_utt1.wav,VF26A_Can_utt2.wav,VF21D,VF26A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6933078914880753,0.6978873312473297,0.6570806354284286,0.6672296971082687,0.6227695718407631,0.6273627877235413,0.7171346992254257,0.6817353516817093,0.6992676258087158,0.6241458728909492,0.6193566843867302,0.7151329666376114,0.6921679526567459,0.688549816608429,0.7112153619527817,0.6812330037355423,0.6506821513175964,0.6866255700588226
T045,VF21D_Can_utt1.wav,VF32A_Can_utt2.wav,VF21D,VF32A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6118427515029907,0.6099821031093597,0.6093896478414536,0.6095094829797745,0.5616212897002697,0.5712163001298904,0.6111751571297646,0.6503420919179916,0.6441433876752853,0.5822495296597481,0.5904069691896439,0.6787521690130234,0.6800880432128906,0.6872507035732269,0.7194004654884338,0.6017186939716339,0.64378622174263,0.6318012624979019
T046,VF23B_Can_utt1.wav,VF23B_Can_utt2.wav,VF23B,VF23B,Can,Can,utt_c1,utt_c2,c1_c2,same,can,0.8177477717399597,0.7957912981510162,0.7256814539432526,0.7232328355312347,0.7758818864822388,0.7748577296733856,0.7671798467636108,0.7738412618637085,0.807253509759903,0.7680801153182983,0.748318076133728,0.8542290925979614,0.8138260841369629,0.9040805697441101,0.7740776240825653,0.758405327796936,0.7593348622322083,0.7634357810020447
T047,VF23B_Can_utt1.wav,VF23C_Can_utt2.wav,VF23B,VF23C,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6027505397796631,0.5958956480026245,0.526286905631423,0.5349593535065651,0.5238098241388798,0.5285507030785084,0.584426112473011,0.5789006724953651,0.5962129905819893,0.5058630621060729,0.5026640621945262,0.6047828793525696,0.5661507025361061,0.6410060226917267,0.5546509847044945,0.4773279298096895,0.4953601905144751,0.5039847586303949
T048,VF23B_Can_utt1.wav,VF26A_Can_utt2.wav,VF23B,VF26A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6193418130278587,0.6096085906028748,0.5280404891818762,0.5348478741943836,0.5360349677503109,0.5369642004370689,0.601595088839531,0.5018115356797352,0.5141053106635809,0.5745011195540428,0.5740519389510155,0.6106409952044487,0.5966979116201401,0.6091423258185387,0.545767217874527,0.553536094725132,0.5573118329048157,0.5938732549548149
T049,VF23B_Can_utt1.wav,VF32A_Can_utt2.wav,VF23B,VF32A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6204034984111786,0.6453026682138443,0.6024313941597939,0.6227652877569199,0.5951018929481506,0.5919331684708595,0.6210681945085526,0.5579958483576775,0.5519730113446712,0.5375537239015102,0.5492346696555614,0.6106376498937607,0.6166248619556427,0.6323208212852478,0.5877435132861137,0.5458478704094887,0.5816964879631996,0.5847911015152931
T050,VF23C_Can_utt1.wav,VF23C_Can_utt2.wav,VF23C,VF23C,Can,Can,utt_c1,utt_c2,c1_c2,same,can,0.8520551025867462,0.8560544550418854,0.7877549827098846,0.7519777119159698,0.7457603067159653,0.7172674983739853,0.7889663875102997,0.8035400807857513,0.8196748197078705,0.780719131231308,0.757163792848587,0.8978061974048615,0.8573804795742035,0.8959943652153015,0.8414552509784698,0.7469480335712433,0.7860269844532013,0.8242047429084778
T051,VF23C_Can_utt1.wav,VF26A_Can_utt2.wav,VF23C,VF26A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.5742117315530777,0.5695756375789642,0.49799986160360277,0.5108793331310153,0.4679991640150547,0.47522040642797947,0.5772457644343376,0.527547188103199,0.5785378888249397,0.5207126028835773,0.5301748458296061,0.5932341665029526,0.5820502862334251,0.6100282743573189,0.5775591060519218,0.4930649674497545,0.49632020969875157,0.4943352350965142
T052,VF23C_Can_utt1.wav,VF32A_Can_utt2.wav,VF23C,VF32A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6760477870702744,0.6757140457630157,0.5606658160686493,0.5441687442362309,0.6081614717841148,0.6001531481742859,0.6335294097661972,0.6040267497301102,0.6417060941457748,0.6356962025165558,0.6278300434350967,0.6662853956222534,0.6522213965654373,0.6659356653690338,0.700848400592804,0.5801749527454376,0.6023466065526009,0.5805719643831253
T053,VF26A_Can_utt1.wav,VF26A_Can_utt2.wav,VF26A,VF26A,Can,Can,utt_c1,utt_c2,c1_c2,same,can,0.8432464003562927,0.8416556417942047,0.747619092464447,0.719955638051033,0.7726049721240997,0.7569610178470612,0.7920169234275818,0.7371195554733276,0.7070642858743668,0.8046829402446747,0.7918829619884491,0.8754229247570038,0.8842793703079224,0.8876359760761261,0.8580561578273773,0.740880697965622,0.827434629201889,0.8159646987915039
