feature,category,mean_rho,sd_rho,sem_rho,wilcoxon_stat,p_raw,p_fdr
H2KH5Kc_cv,eng,-0.12921422012331107,0.058971626153187566,0.017780614293384792,0.0,1.0,1.0
H2KH5Kc_cv,mixed,0.24574945096172598,0.0283446060424363,0.008546220279381973,66.0,0.00048828125,0.0006824171686746987
pF3_cv,all,0.1245146619388711,0.06532555708819361,0.019696396552952713,66.0,0.00048828125,0.0006824171686746987
pF3_cv,can,-0.001443001443001441,0.09034713161325446,0.027240685131456527,35.0,0.44921875,0.515934405940594
pF3_cv,eng,-0.043244129607765976,0.08564004632031257,0.0258214455157394,17.0,0.92626953125,1.0
pF3_cv,mixed,0.25517768362608,0.08254143513596565,0.024887179091223264,66.0,0.00048828125,0.0006824171686746987
pF1_mean,all,0.2521562157686692,0.03937194844728004,0.011871089114985798,66.0,0.00048828125,0.0006824171686746987
pF1_mean,can,0.17821723730814643,0.05942367242302151,0.01791691137201379,66.0,0.00048828125,0.0006824171686746987
pF1_mean,eng,0.30367309458218555,0.07644920633262887,0.023050302993253814,66.0,0.00048828125,0.0006824171686746987
pF1_mean,mixed,0.28222501833069996,0.046763166637826384,0.014099625249685051,66.0,0.00048828125,0.0006824171686746987
pF0_mean,all,0.22203821766516577,0.04642885307472581,0.013998825917764014,66.0,0.00048828125,0.0006824171686746987
pF0_mean,can,-0.04790108881017974,0.04546273838238305,0.013707531377859416,5.0,0.99658203125,1.0
pF0_mean,eng,0.2760855306309853,0.09312586406316546,0.028078504488651058,66.0,0.00048828125,0.0006824171686746987
pF0_mean,mixed,0.33235586127451205,0.04623906130324446,0.013941601545554877,66.0,0.00048828125,0.0006824171686746987
H2H4c_cv,all,0.20971558841307614,0.03254503435851986,0.009812697068766838,66.0,0.00048828125,0.0006824171686746987
H2H4c_cv,can,0.17152695789059427,0.07693508226163077,0.023196800097905146,66.0,0.00048828125,0.0006824171686746987
H2H4c_cv,eng,-0.03451397087760724,0.05996085364766242,0.018078877605337197,15.0,0.94921875,1.0
H2H4c_cv,mixed,0.33041330751021786,0.02191042373988236,0.006606241322080483,66.0,0.00048828125,0.0006824171686746987
H2KH5Kc_mean,all,0.24526155157730137,0.028155210268796013,0.008489115305014344,66.0,0.00048828125,0.0006824171686746987
H2KH5Kc_mean,can,0.42220910402728595,0.04099118350548942,0.012359306854573962,66.0,0.00048828125,0.0006824171686746987
H2KH5Kc_mean,eng,0.03280860553587827,0.0713059720877565,0.021499559520603947,47.5,0.1201171875,0.1451416015625
H2KH5Kc_mean,mixed,0.2350904149203328,0.057816409796651314,0.017432303456447324,66.0,0.00048828125,0.0006824171686746987
