feature,category,mean_rho,sd_rho,sem_rho,wilcoxon_stat,p_raw,p_fdr
pF3_cv,eng,-0.03444922124548204,0.10871805570055575,0.017189833939940447,257.0,0.9809352779384426,0.9999999999936335
pF3_cv,mixed,0.21127996820372902,0.08985059644998278,0.01420662669532924,813.0,1.7280399333685637e-11,3.782125137184026e-11
pF1_mean,all,0.2266160180164361,0.06669565559001174,0.01054550908512892,820.0,9.094947017729282e-13,3.767906621630702e-12
pF1_mean,can,0.1683612860460674,0.10510295155651167,0.01661823578624581,812.0,2.2737367544323206e-11,4.627253745862267e-11
pF1_mean,eng,0.2836174912284757,0.1172378381310795,0.018536929822417465,820.0,9.094947017729282e-13,3.767906621630702e-12
pF1_mean,mixed,0.24820234663112775,0.09132116522873011,0.01443914403516793,819.0,1.8189894035458565e-12,5.861188078092204e-12
pF0_mean,all,0.16770799741093462,0.06246388469316727,0.009876407356626822,820.0,9.094947017729282e-13,3.767906621630702e-12
pF0_mean,can,0.07134803164982051,0.10336411261140371,0.01634330120870853,686.0,5.0504836508480366e-05,6.509512261093025e-05
pF0_mean,eng,0.22726003714802506,0.08593991207227772,0.01358829320314993,820.0,9.094947017729282e-13,3.767906621630702e-12
pF0_mean,mixed,0.19663820372209195,0.08190945945337763,0.012951022689294187,816.0,6.366462912410498e-12,1.605455864868734e-11
H2H4c_cv,all,0.12753450643586423,0.07961342833712023,0.012587988293994575,796.0,6.930349627509713e-10,1.1012610367001737e-09
H2H4c_cv,can,0.16734728537946714,0.10529477801089315,0.016648566211811804,809.0,5.002220859751105e-11,9.3589938666311e-11
H2H4c_cv,eng,0.07236897619697513,0.10336625610527296,0.0163436401248474,690.0,3.854378974210704e-05,5.0236849551510295e-05
H2H4c_cv,mixed,0.15705645812678729,0.096112975391668,0.015196795746669245,805.0,1.2460077414289117e-10,2.125542617731673e-10
H2KH5Kc_mean,all,0.21851496226808872,0.06797285753901114,0.010747452444671136,819.0,1.8189894035458565e-12,5.861188078092204e-12
H2KH5Kc_mean,can,0.4602272716798961,0.10645984343942998,0.01683277923067663,820.0,9.094947017729282e-13,3.767906621630702e-12
H2KH5Kc_mean,eng,0.059492261941670586,0.11108760656527504,0.01756449282814717,631.0,0.001196115249513241,0.0014760571164205954
H2KH5Kc_mean,mixed,0.16678918998142983,0.08923498015274683,0.01410928921213,801.0,2.7921487344428897e-10,4.4984618499357665e-10
energy_mean,all,0.07298582647551226,0.07116085623532178,0.01125151929757059,748.0,3.2298339647240937e-07,4.306445286298792e-07
energy_mean,can,0.013848225704061735,0.0952864301375968,0.015066107467065867,482.0,0.17016160817820492,0.19351712302619384
energy_mean,eng,0.037453194458254305,0.11917056159870527,0.01884252023466527,550.0,0.030134745980831212,0.03566969932424919
energy_mean,mixed,0.18724998225317827,0.09247844443471094,0.014622125944150459,819.0,1.8189894035458565e-12,5.861188078092204e-12
HNR_mean,all,0.27288589236962835,0.0939799861361968,0.014859540533071458,820.0,9.094947017729282e-13,3.767906621630702e-12
HNR_mean,can,0.12620255105661976,0.10163526359721967,0.016069946177940612,794.0,9.722498361952603e-10,1.5037464133153358e-09
HNR_mean,eng,0.3285791823704605,0.13908266489126933,0.0219909002051173,819.0,1.8189894035458565e-12,5.861188078092204e-12
HNR_mean,mixed,0.34901803839344825,0.11452323947898307,0.018107714088725076,820.0,9.094947017729282e-13,3.767906621630702e-12
HNR_cv,all,0.10822423870802715,0.07438972251604559,0.011762047882930782,804.0,1.5370460459962487e-10,2.547104876222355e-10
HNR_cv,can,0.15169527387394216,0.09024390950895987,0.014268814950322029,812.0,2.2737367544323206e-11,4.627253745862267e-11
