feature,category,mean_rho,sd_rho,sem_rho,wilcoxon_stat,p_raw,p_fdr
pF2_mean,mixed,0.29373959892840684,0.08889855437159988,0.02095359021127976,171.0,3.814697265625e-06,5.746816659902597e-06
pF3_mean,all,0.20786504124996402,0.08148521666541944,0.01920624975685772,171.0,3.814697265625e-06,5.746816659902597e-06
pF3_mean,can,0.13378627545294214,0.10969865975546887,0.025856222066722622,166.0,3.814697265625e-05,5.145405614098837e-05
pF3_mean,eng,0.14992784992784997,0.05357596044458279,0.01262797497964891,171.0,3.814697265625e-06,5.746816659902597e-06
pF3_mean,mixed,0.30731251117118163,0.09947792308146913,0.023447171329753536,171.0,3.814697265625e-06,5.746816659902597e-06
SHR_mean,all,0.17534841543772853,0.03553617926382091,0.008375957778302847,171.0,3.814697265625e-06,5.746816659902597e-06
SHR_mean,can,0.14770275550884004,0.03929795499493296,0.00926261682122695,171.0,3.814697265625e-06,5.746816659902597e-06
SHR_mean,eng,0.09455031594703579,0.07912466111903513,0.018649861478785768,158.0,0.000335693359375,0.0004326714409722222
SHR_mean,mixed,0.24081925181801664,0.0281489804223122,0.006634778313368108,171.0,3.814697265625e-06,5.746816659902597e-06
pF2_cv,all,0.15280192729178144,0.04531517205398324,0.010680888483335562,171.0,3.814697265625e-06,5.746816659902597e-06
pF2_cv,can,0.21061808561808565,0.1108241334412183,0.026121498758469433,170.0,7.62939453125e-06,1.10626220703125e-05
pF2_cv,eng,-0.011660253326919995,0.03919073234252185,0.00923734419968805,59.0,0.8768959045410156,1.0
pF2_cv,mixed,0.22558088946501245,0.04931866761074212,0.011624521435547033,171.0,3.814697265625e-06,5.746816659902597e-06
H1H2c_mean,all,0.16780525131657287,0.04234978300105668,0.009981939580608652,171.0,3.814697265625e-06,5.746816659902597e-06
H1H2c_mean,can,0.0596921596921597,0.04821740062924141,0.011364950318708369,167.0,2.6702880859375e-05,3.644157858455882e-05
H1H2c_mean,eng,0.11042167708834377,0.10851305163854057,0.025576771553619346,165.0,5.340576171875e-05,7.039850408380683e-05
H1H2c_mean,mixed,0.2245015107095322,0.02662312585783004,0.006275130943484848,171.0,3.814697265625e-06,5.746816659902597e-06
SHR_cv,all,-0.1493200791535904,0.03426074433783858,0.008075334883261424,0.0,1.0,1.0
SHR_cv,can,-0.34178061928428094,0.08639162418671831,0.020362701100049424,0.0,1.0,1.0
SHR_cv,eng,-0.152494480636284,0.08032493332479883,0.018932768350774183,0.0,1.0,1.0
SHR_cv,mixed,-0.06236381612677918,0.046256735910385545,0.010902817212596304,2.0,0.9999923706054688,1.0
CPP_mean,all,0.24524195631298168,0.048716230790352644,0.011482525715235746,171.0,3.814697265625e-06,5.746816659902597e-06
CPP_mean,can,0.012021003687670359,0.10091873570187682,0.023786774121190013,76.0,0.6647377014160156,0.7710957336425782
CPP_mean,eng,0.425244508577842,0.07399000561594099,0.017439611570354206,171.0,3.814697265625e-06,5.746816659902597e-06
CPP_mean,mixed,0.2723780218776335,0.05653353239430082,0.013325081373479822,171.0,3.814697265625e-06,5.746816659902597e-06
FD_cv,all,0.13836863904041882,0.05585203370010004,0.013164450590800108,171.0,3.814697265625e-06,5.746816659902597e-06
FD_cv,can,0.058521725188391875,0.06500223298448979,0.015321173245200203,156.0,0.000522613525390625,0.0006661886697287089
